"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
261720,250868,83,141184,133059,81,5276.39,142570,3892.61,32855,-1233.03,3627.63,-430.538,159007,42811,-12409.3,0.763591,1
383666,341693,93,326973,292146,92,9762.82,217256,19588.8,45256.6,-889.548,-2120.05,1437.61,103271,80218.1,-8023.1,0.774895,1
300790,283611,86,220778,207132,87,7088.3,153294,7197.85,49280.6,-1625.9,1918.82,1635.9,172599,48205.5,-13353.7,0.785173,1
268592,251576,85,239975,222429,86,6002.47,190807,3586.84,26049.4,-1534.52,15302,1740.32,185919,54552.8,-12546.8,0.793394,1
259096,242659,84,180627,163493,84,5095.45,113992,5849.82,27019.6,196.855,3322.96,1376.37,172157,33520.4,-13405.2,0.797505,1
376680,330264,91,286166,247741,92,12945.4,223830,19660.2,58919.7,-1613.26,-930.943,3601.26,130412,83597.5,-9786.72,0.821143,1
225232,196477,87,241810,203430,85,4368.3,144888,6645.25,14355.3,-110.545,11188.6,1040.02,225550,22781.6,-16641.5,0.824226,1
307375,290512,84,227996,209488,86,5980.52,144911,7003.57,14547.9,-724.399,6732.75,1620.45,270868,36325.2,-22081.5,0.839641,1
271428,263203,84,141968,136284,82,4261.57,142216,6418.76,39201.2,-1073.33,7485.28,1125.98,125504,22618.9,-9941.64,0.842725,1
249935,241322,83,160736,153028,82,4649.58,171293,2845.04,17373.7,-219.547,7702.45,1515.74,212477,25551.3,-15764.5,0.845808,1
314088,284639,92,275770,246765,88,8124.9,160346,13358.4,42509.6,-884.363,-163.639,3155.29,130704,64668.4,-8435.01,0.849918,1
254704,234875,83,239896,223308,84,5120.85,183550,6300.48,22544.9,-983.634,-1032.04,2200.17,203582,32684,-15830.4,0.850946,1
296460,255149,89,392211,346503,90,9737.23,192480,20702.9,10505.6,442.794,1538.08,3026.69,164918,53027.5,-13790.7,0.864307,1
282323,262166,84,256061,233401,86,8808.4,146039,11891,45035.2,-424.726,6357.01,2267.88,130665,41847.4,-10355.2,0.866362,1
315263,278509,91,423770,368737,90,10836.9,185396,20558.3,38936.1,291.033,12964.8,3901.09,161826,65614.9,-13292,0.86739,1
295221,259044,89,393675,342148,91,8331.56,201424,13806.7,31561.7,101.711,2511.59,4550.26,165916,59201.6,-10948.6,0.876639,1
