"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
322947,304241,88,113694,106764,83,2585.87,102189,8744.72,5735.3,2315.72,-1051.35,1183.96,158340,21547,8881.22,73436,1.20617
308985,286854,87,86513,79163,84,1810.64,61288.9,11214.7,3650.75,1710,4386.82,201.919,85021.1,15461.9,7942.66,88469.6,1.22247
336927,306109,89,103415,92431,85,2403.58,86488.4,6334.08,5466.21,604.088,1327.91,765.327,157259,24575.9,13644.6,81915,1.2279
298527,276713,86,119731,108457,84,3129.31,93121.1,5185.57,3677.65,1277.82,8806.63,574.306,138619,22078.7,12748.3,102267,1.22926
286173,271600,89,83738,78793,81,1788.94,58800.4,8776.29,8690.16,1618.67,5509.56,1634.86,97264,17503.2,10616.8,101088,1.24012
301837,284264,84,106908,99376,84,2521.43,52534.2,6075.09,4080.45,1187.07,1519.45,550.359,99480.2,17805.8,5653.88,92696.6,1.27001
307805,288007,88,117364,107813,83,2076.12,53745.1,7409.4,7811.57,669.522,2846.29,724.928,70988.8,14488.4,7225.62,104379,1.30125
319379,298575,86,128852,119246,85,2696.95,83361.5,13532.4,5054.38,3896.42,1314.32,1142.01,155834,20135,9411.09,139461,1.3094
327431,303980,89,113636,105880,84,3106.35,99849.2,11071.9,7791.48,3165.4,6340.91,923.656,91433.9,21806.3,17037.3,91971.9,1.32434
313799,287534,96,173329,157328,87,2590.21,82078,8609.69,9176.67,525.509,1055.58,887.134,89170.9,10394,10199.7,100894,1.3352
267604,256601,83,109289,101644,82,3735.41,99852.8,9135.63,8530.8,1399.61,-401.491,971.343,76767.2,27282.4,17763.6,126828,1.34471
310450,295148,86,129377,118209,84,2813.27,65470.5,11240.6,3960.15,1773.27,1175.33,776.593,78368,18030.9,9728.59,86120.6,1.35422
323452,300423,86,136309,124586,86,2209.64,79211.2,9581.77,9434.35,2124.82,1277.41,662.687,124128,24469.5,14219.7,67539.8,1.36916
328149,303340,86,111903,98567,93,2876.58,75010.9,8751.44,6701.17,2929.75,5386.31,-240.685,69928.3,20291.2,8719.07,70112,1.37052
297238,273620,87,109860,98501,86,3024.61,74619.3,9123.96,7511.23,2009.17,1884.37,1738.48,120293,24478.4,10489.9,93502.9,1.37459
356531,332243,92,137567,125094,85,2950.37,88103.5,9756,7124.81,3341.53,6297.65,1389.68,213221,32861.2,17107.1,83119.9,1.38546
328317,305040,89,138499,127984,85,3038.38,79227.8,17100.1,3003.63,2189.14,4295.45,1117.92,109809,28044.5,7110.82,68085.8,1.39497
310981,287247,99,133670,125547,84,2813.03,68527.1,10203.8,3179.38,484.736,3446.9,803.17,80026.4,15740.9,5931.02,81828.3,1.39769
238449,219695,85,127233,117353,83,1082.52,87914.6,11876.2,13779.5,482.505,-82.4905,123.074,108627,18436.6,12004.4,89587.8,1.4167
224505,211519,81,134177,124896,81,1281.95,73421.7,10854.2,5863.32,2846.42,1021.89,1247.47,107883,12967.4,12699.8,69204.5,1.41806
640952,367838,118,261215,137005,116,6366.83,189078,21992,10900.5,3754.84,4763.12,2974.53,167139,50809.5,16908.8,119184,1.44387
571419,363822,109,264459,181976,105,4427.6,117677,13117.3,15627.4,5650.15,31.8077,3031.24,208058,42053.6,25365.4,105977,1.44658
318352,298397,85,111379,100817,84,3457.41,52267,12976.6,2937.44,4570.51,10041.3,366.834,154502,15465.2,9474.43,86004.7,1.45338
310502,294186,88,140616,134083,83,2382.94,68823.9,5402.01,7643.97,1337.39,1818.54,561.292,86707.3,21324.5,15055,107224,1.45609
300461,285093,89,118157,110842,85,2295.8,98392.2,6741.24,7491.4,1535.36,3289.03,300.585,144832,29678.2,3325.87,79057.8,1.45881
315306,294862,86,129546,116280,86,2607.84,67285,15792.1,3164.71,1579.57,2249.15,1312.89,116439,19583.5,6246.38,62374.8,1.48462
304199,291150,86,109887,101615,84,3057.94,72546.7,8512.84,4221.15,811.308,1469.96,1002.77,130209,20030.8,9795.7,80316.4,1.48462
331387,304893,87,104638,94049,84,3183.92,77262,10124,10491.7,1790.49,1447.99,1020.3,53997.8,15045.9,17433.3,55674.2,1.50363
273907,250202,86,129536,118144,86,2895.58,92200.7,11169.1,7026.73,1445.77,290.531,1558.16,92408,20565.3,11627.9,91598.5,1.50907
234485,215783,84,132842,122109,82,3058.64,69921.9,16073.3,12352.1,2264.78,1696.34,1044.31,82603.1,21503.9,13558,52013.6,1.52808
291671,273691,87,80428,74839,82,1751.6,53926.7,7891.62,9493.18,1352.31,2973.29,747.198,83949.6,13802.5,10159.3,74917,1.53895
320147,295127,92,128873,117038,84,2211.65,71279.8,10262.9,2911.93,3250.26,3667.46,310.497,116398,17672.6,8805.18,113578,1.54166
517892,437187,99,177544,145249,97,5162.71,67871.9,22846.9,188612,2666.98,2791,845.045,252597,19059,1372.53,86257.5,1.54302
345296,313522,91,144426,131850,86,3542.6,113932,10641.6,4069.58,2123.44,5207.95,735.432,123345,28308.9,6047.94,48569.8,1.54846
322264,301734,86,84119,77995,83,1226.37,55387.1,9046.5,3288,1135.87,991.254,-69.5679,116667,10859,11479.4,85306.4,1.55253
338107,307182,90,96765,88369,84,2751.62,114625,8237.71,3675.54,2069.45,1826.61,1523.7,103274,16387.6,8247.74,97049.8,1.57698
285076,259999,87,125332,114494,84,2908.56,135897,13676,5349.76,2492.5,2845.62,1348.52,171322,32454.2,9931.53,95760.3,1.58785
310666,292331,85,108509,101996,84,2872.2,79102.4,8903.01,3401.6,1683.5,3879.29,404.556,89056.2,17694.1,12693.7,21845.3,1.59192
358357,315969,104,132316,114903,104,2480,66851,11906.6,3818.46,2360.7,6302.37,1370.2,168991,22150.8,10297.9,106131,1.61094
318294,297130,92,99742,94539,83,1401.64,69824.1,7499.61,7161.42,2256.84,85.1925,1235.03,102540,8013.28,5618.92,123500,1.61637
327060,307918,85,124521,115673,84,2470.29,115038,7473.3,5612.07,2026.28,2535.07,909.758,133820,16995.5,7594.99,135410,1.61773
307871,282019,88,136575,126716,85,3168.64,93345.1,4926.51,10230.2,2552.15,3545.85,774.882,76883,22638.2,15704.1,35072.8,1.64354
322117,293915,90,99003,89187,83,2657.92,90359.1,7389.26,6363.4,2062.69,-962.016,-278.346,95728,20493.3,13283.4,101783,1.64897
317062,294378,90,93604,86952,83,1250.97,31151.8,7204.87,3772.99,1792.87,4056.52,173.922,57929.8,1032.56,8039.25,79449.3,1.65033
326615,303782,89,104785,95920,86,2593.63,67390.7,11787.8,16629.2,879.756,8019.13,55.6442,110982,23961.3,9510.4,100919,1.65169
321829,295864,88,102480,93852,84,3738.41,80988.4,6180.96,4159.76,1847.54,1133.91,1316.72,86340.9,27300.8,14826,113793,1.65712
234315,214126,92,124265,113933,83,2629.2,83989.1,7474.91,6358.75,1711.65,716.212,828.897,89413.4,19823.4,15962.3,106130,1.68157
318237,297379,87,98177,92851,82,2082.16,70315.1,5619.77,5080.78,2622.82,-779.975,1539.25,116759,14867.9,9249.07,131740,1.69244
321876,300764,89,124561,115174,86,3657.41,99414.1,10609.9,8396.81,1726.29,4370.12,80.6676,137681,25438.9,8690.66,97449.5,1.71281
320979,294717,90,124408,113598,86,2824.95,66449.2,8823.48,8596.16,1251.4,1109.2,336.483,102731,15556.6,9117.97,104742,1.71553
311730,289605,86,101398,92956,84,1750.28,54929.2,7238.69,4907.59,1275.84,1569.11,749.737,67128.7,11023.4,10593.8,92068.8,1.71824
312955,291891,87,91296,84407,82,1979.99,40518.4,6542.84,4281.56,1505.45,1473.27,-22.0279,92278.2,9639.05,10926.5,112414,1.7359
212245,194596,84,146494,131363,84,1402.66,85513.9,10878.8,6223.21,-96.4874,2935.25,923.184,85213.8,6878.36,19606.1,79605.1,1.76171
323117,300106,87,132735,124215,86,2403.9,96891.6,8439.35,4744.87,1085.88,98.9824,1581.86,129290,16271.3,11013.8,108281,1.76307
316792,293833,89,106332,96913,86,1651.83,105382,8538.06,7148.46,1909.39,7935.9,729.87,147148,19001.7,7725.98,80263.8,1.76578
319856,299648,89,125207,116015,84,2666.71,92974.8,13606,2715.39,2942.67,5889.32,-279.082,139494,22383.7,9403.55,55909.1,1.77393
334892,302436,102,105923,91689,102,2637.17,86649.3,8212.63,5889.45,1479.58,4023.94,721.875,74912.3,20687.1,24525.6,74685,1.77393
223983,206446,84,130807,123334,80,1928.4,84343,10002,3648.5,436.217,1525.25,3055.95,140914,30227.1,14678.4,77844.9,1.77665
313024,290400,88,103682,96334,83,2569.35,67360.1,10021.4,5733.11,1169.06,589.029,366.685,104685,22755.5,9117.07,92576.2,1.78208
590989,398176,111,267475,183298,108,4095.73,140972,8301.82,2879.51,3644.38,1553.14,1396.85,179910,14763.6,31546.1,117485,1.80653
305486,286632,86,98948,89863,83,2120.15,50091.6,8349.54,4020.86,923.281,951.183,667.296,56271.5,11863.4,6103.53,59147,1.82691
321116,303589,87,96693,90990,82,2862.31,77231.3,12418.6,4858.68,1933,2039.25,1150.69,59406,17999.9,15747.7,115783,1.83506
323828,303336,87,114475,103321,84,3024.37,112293,6846.94,5512.52,2602.29,7606.46,1063.01,109675,19948,8845.59,67274.9,1.85136
255060,232445,84,159516,146628,84,3609.55,140603,12215.5,4806.27,2661.53,4793.28,1115.32,145864,31709.6,11829,84618.2,1.86086
324901,302792,88,119850,113201,84,3230.68,113650,10581.2,4738.22,1781.58,1091.15,1458.65,129325,23916.4,12286.6,93057,1.86086
354831,318038,92,156820,139063,88,2570.28,44270.1,15469,5038.91,2133.65,3295.69,392.099,145850,11641.2,7041.68,57126.1,1.86494
338977,313187,88,103474,94982,83,2177.66,66839.1,12278.2,6644.32,2359.7,-549.298,-516.098,119126,22354.7,13279.3,98191.9,1.86494
591490,385937,108,303627,201712,108,5737.53,147385,18708.6,4618.87,4415.22,1546.53,1670.27,241047,43385.3,25125.2,98101.1,1.86766
311946,294976,86,97571,92665,82,1470.63,87286.4,8467.64,16776,2436.27,-423.169,336.836,148650,19600.9,7365.08,76339.8,1.88531
251511,232524,86,123193,113394,81,2810.63,84362.8,7832.17,6716.61,335.001,2327.35,412.457,103901,25700,11529.4,58993.5,1.88803
209970,188434,81,171754,155644,84,3261.99,182082,10454.4,9438.24,703.716,1440.75,1719.82,206660,37441.7,8397.59,92037.2,1.89075
298175,276428,88,112276,105721,83,2157.56,81299.5,10639.4,4065.77,2570.05,5472.67,1713.11,144087,20579.5,5765.5,91892.9,1.90705
339240,314754,89,133230,126410,86,2295.63,89376.6,6497.41,6211.22,1901.23,5546.63,620.187,155970,16188.6,9524.79,63905.8,1.90976
294849,280088,86,138532,130651,83,2795.02,95301.3,8559.31,8537.28,2358.32,4805.53,734.444,121866,20661,12890.6,70112.8,1.9152
334986,302167,90,134147,118527,88,3165.16,134509,9963.24,3029.3,1504.55,2554.82,1328.82,120363,21196.2,12142.4,72230.6,1.93285
322239,300038,91,105602,97811,83,2650.46,104753,7952.77,5288.26,1137.58,-863.953,814.534,130601,21420.6,5698.41,91257.1,1.94236
