"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
356845,317232,86,272722,231856,86,12248.8,175342,17372.6,13982.6,4068.64,-148.51,3755.51,173387,102699,-14383.7,111002,1.78884
288516,265645,84,183579,168084,81,8031.67,143990,13267.4,12678.8,2783.89,496.957,1491.66,107260,68702.2,-8579.34,87815.9,1.81255
330004,299735,86,242485,218548,83,9402.86,169716,16408.6,25465.5,2130,26368.2,3361.22,171915,87075.5,-11907.9,110178,1.83758
345617,315293,99,221474,203507,85,13145.8,207384,13745.1,23851.2,1456.64,16491.5,2363,108015,111723,-6840.07,101162,1.85997
369726,327129,94,227043,202213,86,11174,182654,27457.3,22506.4,3538.38,10654.8,4542.88,88273,112849,-7427.88,78079,1.87446
336989,302402,88,207719,188252,85,9309.25,167385,19883.7,13619.6,3389.4,23754.7,2046.96,134597,78193.5,-11565.5,92296.6,1.90739
336080,300470,90,281653,250689,84,11307.1,254536,6367.83,14687.4,4222.35,12295.5,4270.43,205790,86168.1,-18591,86911.4,1.93901
360398,316955,100,238634,206031,86,7468.98,50015.3,31926.5,11146.3,2919.42,-811.379,2519.09,84975.8,128622,-6911.65,106321,1.99828
347295,314458,84,239632,214786,85,8211.1,158033,7840.83,12549.9,2279.16,694.595,2978.36,123761,83725.2,-11752.3,91219.7,2.01277
292274,269438,85,150888,136403,81,7474.63,122716,9126.62,54983.3,1515.29,20003,2307.83,108806,53629.1,-10070.5,89449.8,2.01804
352323,325287,84,213379,195662,85,12493,208985,6232.35,11862.8,3232.04,1833.34,3888.14,177488,111590,-16458.8,81997.3,2.05229
285710,253571,86,244125,213886,85,6387.74,81685,17633.6,18494.8,3070.73,1003.37,2010.26,106532,22835,-7996.45,63541.9,2.08127
303498,280621,84,202778,182543,83,10507.5,193788,9059.12,14488.1,3527.67,1406.95,2985.23,123952,96127.6,-11608.8,34772,2.10498
301565,262662,86,328213,286529,86,7508.71,62364.8,14614.7,13870.1,2298.11,26.25,2759.36,183696,109474,-13938.2,122847,2.11025
260420,244900,81,197877,188438,80,2449.68,75637,9104.11,33231.2,-123.714,22305.9,1386.67,110311,41791.7,-7061.29,82747,2.11684
355922,316424,93,238886,216759,85,10991.5,170656,19125.4,8743.55,4303.93,-840.922,4304.18,131487,90226.1,-12337.8,116647,2.13528
344345,309387,94,244832,221679,86,14122.4,172808,30241.7,19869.4,2485.06,8074.87,4418.85,102023,127654,-6173,97918.5,2.13791
345705,312994,87,204571,179867,85,11412.3,212208,22700.8,10263.5,2303.48,13209,2752.58,175614,79364.9,-18111,73684.9,2.16953
314566,288040,85,196878,173702,84,5003.16,89408.7,9960.64,31006.8,709.907,3984.1,1889.32,139373,84484.5,-16074.2,47025.2,2.20773
371695,326050,86,277166,236337,86,9570.43,145458,15054.8,26867.5,4015.86,5360.98,3483.21,183269,130907,-19864.9,114437,2.22353
318155,282839,85,253922,216866,87,11190.7,153560,14843.8,16394.4,2260.07,678.684,3755.88,70422.9,126955,-5412.59,108701,2.27754
224334,214734,79,136225,128106,78,4124.03,159917,4251.99,29432,325.778,4243.46,2578.29,119757,43912.5,-116.958,84329.2,2.2973
366598,324547,89,234202,201628,86,10634.3,124226,18378.8,16295,3683.8,6557.6,2257.34,80637.1,75466.1,-8009.48,92156.8,2.37238
375493,334355,87,312766,276232,90,15551.9,193803,3895.6,17135.5,6275.42,4272.78,4838.01,122457,109579,-8340.44,79776.1,2.40268
312077,275722,88,231912,204495,84,7019.01,101391,10545,9186.34,2762.15,1248.15,3322.28,123833,70182.4,-10376.4,97013.7,2.40663
254152,229974,81,243492,218477,84,11600.8,194110,7495.16,15523.8,2944.05,1486.6,4288.95,71355.2,101490,-5035.14,91889.9,2.42376
314776,290355,83,164643,151828,83,8957.31,120901,5825.75,8303.36,1167.28,2415.27,458.134,91712.1,87410.5,-5835.8,138226,2.45801
348340,318052,85,267993,238933,85,52088.5,978887,50090.3,55823.5,5519.98,41257.8,32298.4,7516.21,1.0392e+06,16125.4,118220,2.46723
