"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
323542,293900,85,233714,210601,85,11452.2,149439,31253.6,105230,2179.66,3245.31,2492.2,182976,94865.9,-20016,40191.2,10.4057
329252,306333,84,185974,173413,82,11306.5,223526,5157.35,56609.1,903.848,526.927,2377.31,361325,90782.9,-38487.8,91315.9,10.4137
311072,268375,88,305073,260932,86,19268.6,244322,64631.7,88199.3,1386.35,544.867,9483.19,146401,128576,-14781.1,96349.6,10.5044
300031,284922,81,155611,136685,82,11123,234204,18404.3,68210.7,420.193,15993.3,2872.89,282280,85310.5,-28535.7,77561.1,10.5418
282710,264413,82,185029,167276,82,10048.4,178746,7149.89,119717,-176.481,15896.6,3228.88,325487,98589.8,-31725.6,95342.3,10.6032
407505,338478,96,240116,190560,91,6684.58,146406,25356.2,74752.5,4541.38,1139.55,5105.32,192939,30106.6,-21877.4,106985,10.6098
301821,275609,85,187440,164468,83,10066.2,175393,8923.42,72045.5,3289.67,11576,4107.65,298008,89175.7,-29418.4,97001.8,10.6112
336351,308080,88,232136,205473,86,12277.3,222785,12707.4,50014.1,2274.58,1186.27,4384.83,235676,100575,-24860.6,63416.6,10.7686
320171,286924,85,211576,184037,86,15096.9,241045,22395.7,72226.2,1210.82,8693.71,4224.97,170653,127793,-16233.6,115176,10.8207
359640,313414,88,233622,196615,88,13700.5,214527,24146.7,65309.6,2970.56,24645.1,3414.14,300624,121008,-31119.7,70782.8,10.8527
323371,279232,86,259291,211798,87,14379.4,257033,32667.5,115010,1293.95,15909.9,4616.69,219578,125290,-22593.6,90979.5,10.854
258394,225143,89,357426,310635,85,12121.8,187910,25242.6,120090,439.341,1844.29,5033.87,154218,88441.6,-16818.6,37485.1,11.0288
411683,351444,104,316869,268502,90,18229.6,310554,22822.7,85818.1,1878.63,3281.14,4866.37,447805,157659,-48504,72941.7,11.0462
337169,294162,89,275077,238338,85,17322.9,320318,27832.1,124871,-293.586,-345.774,5763.28,319128,172775,-33688.4,72283.1,11.3077
300707,276342,81,207511,182550,84,9519.62,163805,12483.6,50449.7,3443.99,7309.88,3461.99,214632,57884.3,-24380.1,89016.8,11.604
437011,380099,91,372024,319597,90,17414.6,311994,26214.7,98505.6,3501.24,15742.2,4874.7,350336,146315,-38120.7,107287,11.7881
376572,330538,95,335851,294347,88,14966.8,276689,21415.8,99209.4,2317.25,11036.7,3766.19,261861,123141,-27785.9,62610.5,12.063
372724,332598,87,277628,248118,88,12016.1,219851,23766.7,100253,1813.89,8080.21,5235.33,246877,112108,-25397.9,116544,12.0897
352758,311823,91,237193,206181,85,12950.7,203910,26497.5,72201.4,3521.53,5673.07,3381.41,209960,112969,-22026.2,84796.7,12.107
258135,242442,81,133789,125836,80,7298.98,149653,5573.66,91722.7,1157.87,-94.7555,3623.52,455830,69408.8,-47448.5,102456,12.2698
343379,312702,93,206349,190592,83,14555.8,253729,15134.4,66808.4,4410.16,-181.685,2906.98,242088,122875,-22367.5,122852,12.2872
