"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
369471,324078,92,328746,282665,89,5005.53,1706.1,44554.3,111555,4958.24,-679.051,2493.58,784.138,57681.4,644.86,6.46666,1
295738,271645,83,195829,182219,83,4560.27,1987.55,20689.1,61865.2,4125.33,20072.5,2428.29,620.461,19675.2,4054.27,6.47162,1
294338,268296,87,213775,193872,83,1839.5,926.996,9282.63,62577.7,2688.57,31161.1,2083.23,1147.12,15552.8,2759,6.4746,1
285938,242208,86,258952,211991,87,4571.04,-244.826,4699.63,68608.3,2705.24,1968.41,2780.76,363.543,38834.7,-163.869,6.52526,1
329561,304101,85,220494,202137,84,3023.34,1266.72,15219.2,42092.2,4367.86,20302.7,1266.25,588.717,10614,716.168,6.68218,1
434216,385137,91,296381,265148,89,7274.81,1341.63,17503.1,48565.1,6303.74,9392.79,1866.28,1175.18,14968,365.925,6.68814,1
328910,288635,92,207616,178596,86,5352.83,497.924,12483.8,94239.9,3811.19,39665.2,2567.59,1061.22,24300.1,3739.17,6.69608,1
359724,317147,92,287062,247070,88,3420.54,4056.72,64154.5,97841.7,2993.24,4250.86,2285.33,304.339,29118,-987.493,6.79739,1
306597,278639,89,182159,163162,82,2318.91,1385.86,10089.4,165874,2296.62,30735.9,2829.3,589.23,20787.7,4300.31,6.80633,1
257626,219460,83,316951,273353,86,3445.81,1353.57,19149.3,50969.4,3958.45,-32.9485,18159.1,1333.27,52788.8,1904.42,6.87089,1
267333,247320,83,172714,160620,81,1713.38,1408.38,5351.72,46482.8,2179.5,19680.7,1145.78,-12.13,10035.9,3829.74,6.87883,1
360405,315745,100,266846,233175,100,4343.04,1635.65,6569.79,54511.3,2485.44,18202.9,931.918,1066.66,19715.3,1595.87,6.95928,1
337065,305416,86,207302,187837,84,3446.9,32.6315,18527.6,77571.4,4017.66,13156.9,3384.6,480.521,23955,919.218,6.9851,1
340433,310431,86,212438,194231,84,6220.47,432.989,19140.8,100335,4435.7,1016.01,2248.42,1284.48,17828.9,392.785,6.99702,1
296880,271976,86,248777,221881,84,2797.27,281.764,6712.36,82943,3290.74,23596.4,2149.68,566.756,20269.9,1367.47,7.01788,1
358800,316470,91,241578,207461,87,4558.72,1351.07,26286.7,126552,3221.83,1402.29,3496.99,884.011,45781.4,211.376,7.05363,1
295382,252922,96,277408,223519,98,9718.68,1671.37,44853.4,57058.4,3558.31,3251.83,4221.59,-27.7052,65597.6,7.89027,7.06555,1
286266,261285,88,197468,181610,82,3013.73,671.247,11323,68470,2227.77,11191,2166.5,103.126,22273,1285.42,7.11024,1
381857,341823,90,255170,228582,86,9312.96,613.589,11349.7,71797.4,5799.71,60983.6,1320.31,200.636,22342.3,2316.75,7.16487,1
436222,387860,90,256707,221439,89,5456.56,2747.51,27364.1,67435.4,5943.95,8739.69,2215.6,509.403,23781.1,659.135,7.18374,1
256896,234015,83,230388,206094,83,1951.59,1058.45,6317.86,79709.4,1822.44,15106.2,973.885,1226.22,18612,4803.78,7.27611,1
313580,276934,88,218861,189070,85,12464,442.416,24745.4,69921.3,1868.74,8847.62,1277.77,-154.743,28711.4,1834.78,7.28703,1
306315,270977,84,268159,232598,86,3679.9,3568.85,42676.5,56385.1,5797.98,2684.06,6803.36,-137.461,31461.2,789.702,7.36947,1
297742,269694,84,182011,163851,83,3241.6,580.971,7253.92,62432,4224.39,34211.2,2155.42,-1180.12,24103.3,3388.47,7.40522,1
368465,309754,90,360588,297569,91,5443.52,2152.21,38749.9,82871.5,5322.39,11122.2,4004.98,397.697,67911,1036.56,7.48468,1
370474,323435,88,289036,244779,88,3691.86,3296.42,40172.8,76120.6,3836.28,9746.79,3768.41,89.9869,25307.6,1277.73,7.52838,1
309390,280728,86,188996,168954,83,3109.28,1323.37,10194.7,53537.9,3601.17,34856.1,1516.99,124.445,13718.2,1561.68,7.65253,1
319582,285938,87,264099,235373,86,26383,840.214,13784.5,70623.3,2434.56,2023.58,15489.8,395.05,34099.6,3386.4,7.65551,1
343040,302321,87,239013,202189,87,8230.2,2194.23,26665.2,78214.3,4191.98,7879.91,2784.98,887.696,30289.8,4204.71,7.70119,1
260607,235177,82,280394,253984,83,3093.96,-359.706,16445.8,57308.8,1897.87,22614.8,2284.39,70.8003,27352.3,2067.61,7.72999,1
419962,369237,90,292815,257797,89,7706.91,852.604,19359.1,102415,5197.25,1931.14,3801.34,982.485,53353.5,1864.49,7.74787,1
309830,277688,85,256236,229987,85,3572.67,763.563,12356.7,55144.2,4139.17,24643,1009.69,305.936,26308.3,3886.13,7.81342,1
323707,298797,85,181945,165221,82,1904.36,1013.21,13473.8,65154.7,2894.24,23698.8,358.494,80.3763,8744.7,2585.31,7.8164,1
306508,274423,97,281502,250129,85,2528.76,713.179,48668.9,100547,3000.25,1646.04,5167.15,43.7822,34390,-640.659,7.87897,1
307485,264532,85,282330,243624,85,5633.05,648.165,23482.3,102715,5034.91,5259.65,3511.63,1051.56,64589.8,841.039,7.91373,1
285543,250482,90,285005,246482,85,4540.41,1331.74,31709.8,60485.9,3874.02,2133.52,11192.9,1288.77,52977.7,-680.877,7.95942,1
328915,291601,85,299497,259997,86,4155.35,2574.45,39080.9,100530,3649.12,8171.5,1584.46,-70.6729,31160.6,2705.92,8.0359,1
306235,273642,89,282891,241456,85,5155.99,1508.29,42953,63660.4,3717.43,6769.02,3693.5,205.299,40959,289.777,8.03888,1
288117,247969,93,368232,316085,87,3662.33,2851.95,61849.9,87751.1,3506.25,6013.27,5123.63,801.794,21203.5,1247.8,8.09251,1
334884,301934,88,249997,217044,90,4427.06,753.844,10718.7,44201.6,5362.59,9557.88,2582.87,-10.3888,40872.4,264.523,8.09648,1
314641,280304,86,271443,240498,84,3331.27,913.486,27956.3,70645.7,3232.14,2801.87,3803.04,136.369,40302.8,554.916,8.11237,1
312512,280527,86,220385,192378,85,4648.59,2861.34,32051.4,85467.7,2737.47,4536.73,1975.34,460.322,35642.5,581.503,8.14813,1
