"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
317011,290584,84,222737,204682,82,2877.39,-133.546,3196.69,80590,2481.9,13073,1586.24,143.827,28706.3,810.984,3.29532,1
225972,209942,87,246705,220073,80,28057.2,964.287,7774.52,20924.5,4525.37,3619.09,4127.61,196.695,21549.5,10760.4,3.33723,1
301080,268143,84,304511,268588,85,3551.9,219.247,7467.99,65978.3,3358.59,15501.9,3983.5,-286.139,36478.5,-144.846,3.34745,1
355053,314796,87,235744,209049,85,6443.65,-607.504,11457.9,58695.1,3255.83,242.27,1506.21,235.186,36896.8,86.2381,3.41797,1
342765,305944,97,298248,260901,89,4110.65,547.409,9391.26,95938.7,4784.3,3590.42,2930.45,-230.238,33915.4,-160.612,3.43535,1
341521,303172,88,277606,244278,87,5352.62,2117.5,7958.3,109186,4885.43,29382.9,2235.84,561.629,29054.4,-304.904,3.4701,1
264004,246213,87,183673,165850,81,28183.9,798.159,7680.25,35142.9,1456.31,22715.1,4589.24,195.628,31004.2,4267.43,3.5069,1
313496,285264,84,207006,183674,83,3187.08,558.457,5590.42,105864,1671.13,8124.63,1433.98,-263.479,33865.2,872.619,3.55494,1
345395,308794,84,222442,191629,86,6800.81,795.227,17544.4,121629,3221.53,8272.29,1619.83,80.819,30548.7,726.077,3.55903,1
349422,318471,86,159051,120769,93,10422.1,-2130.6,16218.1,28448.3,-4429.7,-3833.63,2371.65,-4034.76,476189,76.0684,3.56925,1
372575,329540,86,312129,271595,87,4934.82,320.957,4494.59,65604.3,5570.01,11889.1,2053.36,-36.8179,32361.3,74.2183,3.64591,1
291739,257240,90,327281,293834,85,3398.89,-808.852,10840.3,108656,3784.18,6454.12,4803.85,1153,39915.6,562.819,3.77776,1
333002,292573,88,311398,274482,86,3358.94,1084.04,8111.63,85712.2,3538.87,19416.1,2573.7,564.529,41121.3,-727.752,3.79003,1
340530,301575,86,291219,255328,85,10264,242.88,4782.5,54336.3,3076.01,2539.47,1420.76,-73.9644,30059,117.43,3.83091,1
352108,315365,86,283464,253076,86,24992.4,1288.5,8003.23,85070.7,3782.67,15770.6,155.477,1248.25,36688.4,-830.144,3.89224,1
315052,284587,84,270058,237359,84,8377.08,709.538,9321.58,66040.6,5312.77,4262.56,3127.55,1134.8,32391.3,-149.287,4.10382,1
343914,304287,90,287433,253938,85,5192.8,700.387,5649.41,49204.4,4266.2,16395.8,2518.97,207.978,40206.6,-277.418,4.19274,1
358294,318195,90,278893,245105,87,9267.12,1492.38,12193.4,98053.4,4783.59,23681,3394.05,317.199,29450,-436.252,4.21625,1
330777,290961,87,278006,247029,85,5736.89,10.8334,4288.77,71049.7,3933.8,4598.06,2948.13,1252.54,37564.9,1996.28,4.22545,1
341952,300642,85,327743,273624,89,5943.96,265.33,3699.53,87177,5296.96,5913.19,4030.83,1266.66,57829.1,2665.42,4.24487,1
352600,307725,91,245668,215351,86,15832.4,-655.614,2731.75,44498.9,2779.35,-1507.26,36332,27.8943,35937.3,1673.35,4.251,1
248050,211011,88,180837,115754,90,17553.4,-179.603,4021.04,29097.1,1956.31,6886.15,6716.9,469.246,37439.4,341.821,4.27042,1
334055,295523,85,272802,232298,88,4190.03,674.603,6048.07,102485,3319.89,8669.61,2439.86,114.896,49901.4,1688.4,4.28371,1
378879,337114,87,241356,211423,88,11609.9,1615.5,9070.36,95817.1,5334,9130.99,4267.36,918.222,40153.4,-433.156,4.35424,1
315115,285100,84,242382,214780,85,3859.78,490.583,7457.18,36019,2280.73,3320.16,2306.59,1541.95,37268.8,5020.91,4.39615,1
323316,287238,85,297972,254265,86,4143.47,1652.46,6816.16,104327,5228.2,6318.1,4155.19,735.787,53080.5,16.1841,4.43907,1
355105,318255,85,315464,274675,87,8771.96,1587.36,5156.93,62755.8,5719.33,22572.1,2152.04,1100.9,27185.5,-262.182,4.44521,1
333677,297674,89,197682,171433,86,7622.55,420.325,5872.53,58887.1,4079.95,24718.7,2886.35,-381.648,39343.7,190.19,4.47485,1
254561,223805,89,178547,155017,91,25804.1,802.829,7080.03,56764.8,2277.41,20837.7,2527.9,453.371,41595.3,1454.44,4.51573,1
375529,327026,90,321338,274025,87,3806.19,661.943,6837.12,56618.3,5657.59,12708.3,1052.5,807.39,31147,2286.73,4.55355,1
346914,303379,87,335040,288951,87,9809.12,358.162,4414.01,126838,3248.81,7071.4,3988.76,-587.174,57272.2,-82.0993,4.56888,1
310433,281188,85,266639,231328,87,3870.42,1304.65,4994.85,57588.5,4966.73,10994.1,3493.46,869.965,26148.7,-347.28,4.61488,1
286460,249447,85,321625,280219,86,4336.21,41.2191,4063.56,60524.3,4405.68,1938.13,2074.48,1003.67,43420.9,443.035,4.62203,1
250933,212404,85,205980,175235,82,18443.7,2720.96,7192.87,71913.7,2326.07,729.883,11810.6,435.875,9520.04,423.379,4.62817,1
414785,348309,100,343999,274394,100,5424.58,-175.364,10870.8,93380.3,6094.9,16177.6,1440.88,1100.58,41140.8,759.416,4.63021,1
327283,294126,98,224460,196125,98,3146.13,765.779,4752.87,34432.8,4239.57,9097.21,1624.75,213.926,30072.9,2025.15,4.66292,1
334003,299428,86,255012,224286,85,4499.42,283.947,6840.5,57824.6,3561.5,8637.5,2297.54,1604.6,39803.1,36.6522,4.74469,1
323468,291681,85,301521,273560,84,4126.29,1777.74,5495.56,50811,3916.52,6325.37,1368.75,1305.28,38922,1457.33,4.84281,1
340844,303058,85,204599,180699,83,4827.14,1098.7,2547.26,45704.7,5020.17,19609.8,844.805,1349.89,23630.1,1803.04,4.86428,1
326926,289748,88,292441,255218,86,4425.7,1078.84,6737.85,50811.5,1406.49,3204.12,1935.15,-124.735,41483.1,3579.11,4.88881,1
295461,268365,88,173990,151023,84,28140.6,-408.974,15261.8,49245.5,845.495,2781.19,38629.5,671.127,34188.6,6156.62,4.89392,1
306310,282338,82,192237,172470,82,8657.37,1161.94,6510.24,66752.5,1498.18,1606.5,831.798,622.162,21478.6,-261.578,4.89596,1
409899,348608,88,268675,220449,89,7514.89,682.143,11085.4,81097.9,4681.47,2060.79,2387.69,-693.882,27191.4,-256.446,4.91027,1
343369,302541,86,346171,290443,89,3849.85,500.409,7211.85,76925.2,4454.88,21263.5,2647.76,628.145,47356.4,685.867,4.91947,1
349640,317696,92,251306,220357,87,11252.9,-171.854,6497.4,82189.2,2925.18,3633.28,1708.64,1235.46,33947.8,-484.248,4.93583,1
348704,314405,86,265355,238637,84,4803.49,508.839,12822.7,57279.9,3001.18,9612.34,3864.39,1885.1,40659.9,-176.08,5.01146,1
373016,323372,91,325692,276927,90,5721.68,-602.723,4171.72,105309,3483.39,4643.66,2969.67,1216.51,57904.8,514.323,5.03395,1
296831,269011,97,194202,171342,88,3259.55,835.782,3457.48,37989.1,1084.07,16194.4,1040.36,737.367,28633.8,4852.4,5.06666,1
324384,285670,92,260178,221248,86,4406.53,1607.71,8332.88,124425,2001.88,28135,1621.68,961.724,35645.7,-302.941,5.0871,1
296423,268481,85,244081,216161,84,4102.2,-222.9,7666.37,46138.6,1961.24,4105.28,2237.79,876.214,32804.2,3160.39,5.10039,1
315934,284487,83,306084,269370,85,4588.43,886.891,6575.11,88503.1,4413.14,1017.61,4921.55,292.805,52352.4,1264.14,5.12901,1
384596,325854,97,435511,363034,91,6440.34,383.108,5179.66,93078,6313.56,3351.08,21245.3,-1067.78,62407.3,-64.969,5.14127,1
368076,330332,86,334348,298653,87,6886.13,293.012,7472.76,72947.3,5841.09,3025,2386.3,931.529,39803.1,113.167,5.14536,1
300615,268166,87,266193,237130,85,3320,1186.57,5938.18,140824,2638.52,18066,1760.84,-1115.52,32744.2,616.827,5.18624,1
233842,206515,84,272454,241038,83,3490.35,2103.43,9095.92,83558.5,2836.66,7874.15,3740.35,-492.97,41551.9,2076.73,5.18931,1
